,0,2,4,6,8,10,12
lasso,83.1,78.3,85.2,78.2,84.1,88.0,109.9
log,43.3,54.0,55.5,53.0,60.3,67.8,78.6
robust_log,55.3,52.6,57.2,55.7,62.9,55.6,70.8
l2,4.9,9.9,13.9,16.7,36.6,32.3,54.9
robust_l2,7.5,6.8,8.7,16.1,30.0,30.7,57.4
