,0,2,4,6,8,10,12
lasso,24.5,22.6,25.0,25.6,25.3,24.7,27.3
log,5.5,13.8,8.3,10.8,15.5,16.4,14.3
robust_log,10.3,15.6,6.6,23.6,11.2,16.5,22.9
l2,2.8,4.4,3.6,3.4,4.4,4.2,5.7
robust_l2,3.1,3.9,2.9,3.3,4.0,5.6,5.3
