,0,2,4,6,8,10,12
lasso,18.7,21.0,19.3,17.4,18.8,20.4,19.1
log,14.6,13.5,21.8,11.2,12.3,46.4,21.7
robust_log,10.6,14.5,11.9,36.5,13.5,13.7,30.9
l2,3.1,2.5,6.0,4.2,4.4,5.6,5.3
robust_l2,3.9,3.5,3.3,4.0,4.5,5.2,7.2
