,0,2,4,6,8,10,12
lasso,78.0,74.0,82.9,84.7,88.5,91.9,91.5
log,32.4,33.0,39.5,40.9,40.5,48.1,58.3
robust_log,31.3,31.3,37.4,39.5,42.7,49.1,54.8
l2,5.5,6.0,6.8,10.2,14.8,22.1,31.3
robust_l2,5.3,6.0,7.2,11.3,16.1,24.2,34.6
