,0,2,4,6,8,10,12
lasso,73.9,80.3,82.5,90.7,102.4,116.0,117.0
log,23.5,21.7,24.1,24.3,29.6,40.5,44.4
robust_log,21.5,22.0,23.0,25.0,33.4,40.5,50.4
l2,4.1,4.1,5.7,6.3,9.7,19.1,23.6
robust_l2,4.9,4.9,5.6,6.8,9.2,18.3,25.0
