,0,1,2,3
bm3d,8.0,7.1,8.7,8.7
log,20.0,21.0,22.2,25.0
robust_log,19.4,24.7,23.6,23.0
l2,9.4,8.2,13.6,12.1
robust_l2,9.5,8.4,9.7,12.8
