,0,1,2,3
bm3d,8.0,7.5,8.2,9.2
log,21.9,20.8,22.0,25.2
robust_log,22.7,21.8,22.0,27.6
l2,9.6,8.0,10.0,12.8
robust_l2,8.4,7.6,9.6,13.2
